postcode,latitude,longitude
AB23 8NQ,57.21925783,-2.110362295
AB23 8NR,57.21750793,-2.09976
AB23 8NS,57.21218778,-2.100258943
AB23 8NT,57.20874187,-2.095746945
AB23 8NU,57.19347985,-2.095756988
AB23 8PA,57.18154989,-2.096404
AB23 8PB,57.18281027,-2.092867515
AB23 8PD,57.18236971,-2.093395751
AB23 8PJ,57.18306,-2.095250236
AB23 8PL,57.18384359,-2.092489633
AB23 8PN,57.18355477,-2.094325131
AB23 8PP,57.18251116,-2.096406764
AB23 8PQ,57.18202724,-2.094883651
AB23 8PR,57.18297089,-2.094307097
AB23 8PS,57.18166657,-2.096652685
AB23 8PT,57.18270853,-2.096738123
AB23 8PW,57.24959946,-2.061830616
AB23 8PX,57.18226633,-2.099334051
AB23 8QA,57.18496917,-2.10063169
AB23 8QB,57.18341638,-2.099039381
AB23 8QD,57.18496772,-2.102418347
AB23 8QE,57.18550773,-2.101146003
AB23 8QF,57.19419456,-2.100756124
AB23 8QG,57.194239,-2.101351948
AB23 8QH,57.19180388,-2.102255304
AB23 8QJ,57.18367603,-2.100115345
AB23 8QL,57.18445856,-2.098843661
AB23 8QN,57.18449291,-2.100828907
AB23 8QP,57.19279215,-2.102076029
AB23 8QQ,57.19244272,-2.100966447
AB23 8QS,57.19113,-2.102451989
AB23 8QT,57.18367952,-2.095648856
AB23 8QU,57.19283014,-2.099527945
AB23 8QW,57.19310615,-2.102573301
AB23 8QX,57.18404691,-2.096840886
AB23 8RA,57.18458471,-2.098347709
AB23 8RB,57.18620887,-2.100685
AB23 8RD,57.246539,-2.086582
AB23 8RG,57.19849052,-2.098103429
AB23 8RH,57.19915673,-2.096202007
AB23 8RJ,57.20061181,-2.096404403
AB23 8RL,57.20109657,-2.096819429
AB23 8RN,57.19659385,-2.099703579
AB23 8RP,57.2001989,-2.096006125
AB23 8SA,57.25901721,-2.086131
AB23 8SB,57.24853333,-2.087249696
AB23 8SD,57.24874823,-2.088244509
AB23 8SH,57.25419,-2.061673
AB23 8SJ,57.24651128,-2.057948
AB23 8SL,57.22962339,-2.100538247
AB23 8SP,57.25337241,-2.061522059
AB23 8SQ,57.246394,-2.058626889
AB23 8SR,57.2453334,-2.060182996
AB23 8SS,57.25280619,-2.061654
AB23 8ST,57.24593527,-2.06015084
AB23 8SU,57.24563087,-2.05797963
AB23 8SW,57.24534285,-2.05920537
AB23 8SX,57.24698979,-2.052314515
AB23 8SY,57.25218117,-2.053979233
AB23 8TP,57.24801008,-2.060618233
AB23 8TR,57.249905,-2.060090826
AB23 8TS,57.25323006,-2.058671139
AB23 8TW,57.24620376,-2.062172889
AB23 8UA,57.22927954,-2.092106745
AB23 8UB,57.23003301,-2.093582765
AB23 8UD,57.23069051,-2.103241
AB23 8UE,57.22792231,-2.093196471
AB23 8UF,57.22548718,-2.081415234
AB23 8UG,57.23014594,-2.098601756
AB23 8UH,57.260039,-2.111545
AB23 8UJ,57.25583391,-2.102416463
AB23 8UL,57.26201,-2.09567
AB23 8UN,57.25393165,-2.129310866
AB23 8UP,57.24245592,-2.115617828
AB23 8UQ,57.24538468,-2.105022077
