IS_ENCLOSED,AGE_INDEX,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WAR,CURRENT_ENERGY_EFFICIENCY
0,9,0.0,1,1,0,0.2,3,31.67308549908697,0,1,0,59,0.216,1,0,3,0,0,3,0.2,-1,0,108,3,300,0.35,3,0.8602314814814815,75
0,4,0.012345679012345678,1,1,0,1.5,1,35.17649201634782,0,1,0,40,0.216,1,5,3,0,0,3,1.5,0.216,0,81,3,250,0.7,2,0.7855814814814814,52
0,3,0.0,1,1,0,2.3,3,34.81520734221731,0,1,0,38,0.216,1,2,3,0,0,0,2.3,-1,0.6,84,3,250,0.7,3,0.8049452380952381,61
0,1,0.008130081300813009,1,1,0,2.3,3,29.77081584591809,0,0,1,62,0.216,1,0,3,0,0,0,2.3,-1,0,123,0,220,1.7,2,0.8221056910569106,58
0,1,0.011494252873563218,1,1,0,2.3,3,34.44462959098756,0,0,1,33,0.216,1,1,3,0,0,4,2.3,-1,0,87,0,220,1.7,2,0.7989770114942529,55
0,1,0.010638297872340425,1,1,0,2.3,3,33.5444602197713,0,0,1,30,0.216,1,0,3,0,0,2,2.3,0.216,0,94,1,220,1.7,2,0.8048617021276596,66
0,4,0.0,1,1,0,1.5,1,38.04172728855688,0,1,0,38,0.216,1,0,3,0,0,0,1.5,0.216,0,53,3,250,0.7,2,0.7377603773584906,39
0,2,0.0,1,1,0,2.3,3,35.9292179753898,0,1,0,100,0.216,1,0,3,0,0,3,2.3,-1,0,74,3,250,0.7,3,0.7850945945945946,69
0,1,0.0,1,1,0,2.3,3,33.63591252664306,0,0,1,85,0.216,1,1,3,0,0,0,2.3,0.216,0,93,0,220,1.7,2,0.8040752688172044,47
0,1,0.012195121951219513,1,1,0,2.3,3,35.05209438034329,0,1,0,46,0.216,1,2,3,0,0,0,2.3,0.216,0.6,82,4,220,0.32,3,0.7941585365853658,55
0,1,0.015625,1,1,0,2.3,3,36.95743054910763,0,0,1,83,0.216,1,0,3,0,0,3,2.3,-1,0,64,0,220,1.7,2,0.770578125,70
0,3,0.0,1,1,0,2.3,1,36.07443248739487,0,0,1,57,0.216,1,5,3,0,0,3,2.3,0.216,0,72.96,1,250,1.5,3,0.7950106359649123,52
0,1,0.0,1,1,0,2.3,3,36.45135792213487,0,1,0,67,0.216,1,0,3,0,0,3,2.3,-1,0,69.28,0,220,1.7,2,0.7787650115473441,57
0,2,0.012987012987012988,1,1,0,2.3,3,35.61897533021001,0,0,1,70,0.216,1,0,3,0,0,1,2.3,0.216,0,77,3,250,0.7,3,0.7887142857142857,67
0,3,0.012067093037287317,1,1,0,2.3,3,34.97456140230436,0,1,0,9,0.216,1,0,3,0,0,2,2.3,0.216,0,82.87,3,250,0.7,3,0.8040499818993605,62
0,3,0.0,1,1,0,2.3,3,34.89079440036706,0,1,0,100,0.216,1,0,3,0,0,3,2.3,-1,0,83,1,250,1.5,3,0.8041542168674699,62
0,1,0.0,0,0,0,2.3,0,36.977050029713254,0,0,1,78,0.519,0,11,0,0,0,0,2.3,-1,0.3,63.84,0,220,1.7,2,0.7703088972431078,12
0,2,0.010802635843145728,1,1,0,2.3,3,33.753255451711325,0,1,0,0,0.216,1,4,3,0,0,4,2.3,0.216,0,92.57,3,250,0.7,3,0.8037318785783731,56
0,2,0.009364523439402169,1,1,0,2.3,1,31.86622086747762,0,1,0,10,0.216,1,2,3,0,0,1,2.3,0.216,0.6,106.786,1,250,1.5,3,0.8136189013541101,36
