AGE_INDEX,ENERGY_TARIFF,EXTENSION_COUNT,FROM_MAIN_SYSTEM,HW_GAS,HAS_TANK,FLAT_TOP_STOREY,FLOOR_U_VALUE,HOT_WATER_ENERGY_EFF,INTERNAL_LIGHTING,INTERNAL_GAINS,IS_DETACHED,IS_END,IS_MID,LOW_ENERGY_LIGHTING,MAIN_FUEL,MAINS_GAS_FLAG,MAIN_HEATING_CONTROLS,MAINHEAT_ENERGY_EFF,MECHANICAL_EXTRACT,MECHANICAL_SUPPLY,NUMBER_HEATED_ROOMS,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,ROOF_ENERGY_EFF,ROOF_U_VALUE,SECONDHEAT_DESCRIPTION,TEMP_ADJUSTMENT,TOTAL_FLOOR_AREA,WALLS_ENERGY_EFF,WALL_THICKNESS,WALL_U_VALUE,WET_ROOMS,WINDOW_AREA,CURRENT_ENERGY_EFFICIENCY
1,0,0.015188335358444714,1,0,1,0,2.3,3,1.0301965630069176,36.81195554295787,0,0,1,43,0.216,1,3,3,0,0,4,0,0,0,2.3,0.216,0.6,65.84,0,220,1.7,2,14.90748,50
4,0,0.021706099413935316,1,0,1,0,1.5,3,0.7734984997452895,33.789545958116456,0,1,0,27,0.216,1,1,3,0,0,6,0,0,3,1.5,-1,0,92.14,3,250,0.7,3,18.748146,64
8,0,0.0,1,0,1,1,0.22,3,0.8616958110345839,35.703102045774166,0,0,0,100,0.216,1,0,3,1,0,3,0,0,3,0.35,-1,0,76.05,3,300,0.45,2,9.122539999999999,75
3,0,0.013176966662274345,1,0,1,0,2.3,3,0.9244456973233252,35.78204131416678,0,1,0,20,0.216,1,0,3,0,0,5,0,0,2,2.3,-1,0,75.89,3,250,0.7,3,15.335165999999997,71
4,0,0.014539110206455364,1,0,1,0,1.5,3,1.016828024126665,36.546793512930414,0,1,0,9,0.216,1,0,3,0,0,5,0,0,0,1.5,-1,0,68.78,3,250,0.7,3,15.853842,67
1,0,0.014015416958654521,1,0,1,0,2.3,3,0.9916348455244012,36.28920916588309,0,1,0,0,0.216,1,2,3,0,0,4,0,0,2,2.3,-1,0,71.35,0,220,1.7,2,15.579699999999999,52
4,0,0.026089452034542434,1,0,1,0,1.5,2,0.652661892202646,30.807468710255268,1,0,0,0,0.216,1,0,3,0,0,7,0,0,1,1.5,0.216,0,114.989,1,250,1.5,4,21.5791371,52
5,0,0.02420682309653681,1,0,1,0,0.68,3,0.5923611801280741,29.679713956020915,1,0,0,29,0.216,1,2,3,0,0,6,0,0,1,0.68,0.216,0,123.932,2,260,1,3,21.0362864,63
1,0,0.017064846416382253,1,0,1,0,2.3,3,1.0987794542825138,37.45148512827322,0,0,1,100,0.216,1,0,3,0,0,4,0,0,3,2.3,0.216,0,58.6,0,220,1.7,2,14.0242,69
5,0,0.013104614134636806,1,0,1,0,0.68,3,0.8818461581966359,35.69694905506557,0,1,0,70,0.216,1,2,3,0,0,4,0,0,3,0.68,-1,0,76.309,3,260,0.4,2,15.0738868,68
10,0,0.0,1,0,1,0,0.2,3,0.6197422928680715,31.602982797081545,0,1,0,100,0.216,1,0,3,1,0,7,0,0,3,0.2,-1,0,108.32,3,300,0.3,4,15.140919999999998,76
4,0,0.0,1,0,1,0,1.5,3,1.0114799675509645,36.808200735253784,0,0,1,70,0.216,1,3,3,0,0,3,0,0,0,1.5,0.216,0.6,65.66,1,250,1.5,2,15.467274,58
8,0,0.008378858464322821,1,0,1,0,0.35,3,0.6205882466128437,30.247699368328597,1,0,0,17,0.216,1,0,3,0,0,7,0,0,3,0.35,0.216,0,119.348,3,300,0.45,4,16.4668936,70
5,0,0.0,1,0,1,0,0.68,3,1.2974003153308313,38.41251520154059,0,1,0,100,0.216,1,0,3,0,0,3,0,0,3,0.68,-1,0,49.11,3,260,0.4,2,11.668572000000001,69
10,0,0.0,1,0,1,0,0.22,3,1.0750502620616291,37.261024564906016,0,0,0,83,0.216,1,0,3,0,0,3,0,0,-1,0,-1,0,60.78,3,300,0.3,2,7.369544,84
4,0,0.0,1,0,1,1,0.22,3,1.1321244988010855,37.62457089003431,0,0,0,100,0.216,1,0,3,1,0,3,0,0,3,1.5,-1,0,56.76,3,250,0.7,2,10.629691999999999,73
9,1,0.0,0,0,0,1,0.2,1,1.0091808787148757,36.43662599758146,1,0,0,0,0.519,0,6,1,0,0,3,0,0,-1,0,-1,0.3,69.93,3,300,0.35,2,8.419964,72
5,0,0.014322133424994986,1,0,1,0,0.68,1,1.0019274226381518,36.439100789793656,0,1,0,11,0.216,1,3,3,0,0,4,0,0,1,0.68,-1,0.6,69.822,3,260,0.4,2,14.2617144,54
4,0,0.0,1,0,1,0,1.5,3,1.0370436338387934,36.71605258854293,1,0,0,12,0.216,1,1,3,0,0,5,0,0,3,1.5,0.216,0,67.06,3,250,0.7,3,15.640733999999998,59
1,0,0.028180921516133578,1,0,1,0,2.3,1,0.9576045302450513,36.290292291639446,0,0,1,50,0.216,1,1,3,0,0,3,0,0,2,2.3,0.216,0,70.97,0,220,1.7,2,15.533339999999999,50
4,0,0.0,1,0,1,1,0.22,3,1.1714943364429595,37.819502802420736,0,0,0,100,0.216,1,0,3,0,0,3,0,0,2,1.5,-1,0,54.73,3,250,0.7,2,10.484141,73
7,0,0.0,1,0,1,0,0.35,1,0.8004319380694035,34.21327843903885,1,0,0,25,0.216,1,1,3,0,0,5,0,0,2,0.35,0.216,0,88.87,3,270,0.6,3,14.958876,53
5,0,0.0,1,0,1,1,0.68,3,0.9970550347252736,36.607367584735435,0,0,0,50,0.216,1,0,3,0,0,4,0,0,3,0.68,-1,0,67.86,3,260,0.4,2,10.111414,70
